imie;nazwisko;wiek
Ryszard;Wojtalewicz;31
Michał;Szałata;33
Urszula;Katana;22
Fabian;Małż;32
Marcelina;Doliwa;44
Adrianna;Olszyna;38
Maciej;Niemira;27
Antoni;Janiuk;41
Bruno;Stypa;48
Damian;Kasperczak;36
Paweł;Kózka;27
Antoni;Grzesiek;43
Filip;Hrabia;37
Marianna;Heleniak;31
Filip;Jachimczyk;48
Ignacy;Malcher;28
Liwia;Lesner;43
Sara;Glazer;49
Ignacy;Kwinta;22
Alan;Suda;24
Agnieszka;Lenc;26
Jeremi;Łachacz;25
Grzegorz;Owczarczak;48
Sonia;Daraż;27
Ryszard;Grygo;48
Radosław;Pelka;34
Kajetan;Pęksa;47
Przemysław;Wasiewicz;22
Dawid;Majdan;34
Adrian;Wojciech;45
Robert;Dulas;32
Dagmara;Hanus;46
Julita;Rzeźniczek;33
Andrzej;Tomalak;50
Krzysztof;Drożdżal;48
Olga;Sykut;43
Dorota;Rezler;39
Maks;Polakiewicz;30
Ksawery;Nowotny;36
Adam;Szymała;41
Róża;Bas;22
Marcelina;Domińczak;20
Kaja;Bystroń;43
Dagmara;Waleczek;47
Adrianna;Gregorczuk;38
Leon;Gajowiak;27
Malwina;Rembacz;24
Adrianna;Strama;34
Aniela;Skrobek;40
Oskar;Nesterowicz;37
Tadeusz;Łaciak;43
Cyprian;Drobisz;30
Julita;Wichary;47
Róża;Muniak;26
Jakub;Tórz;25
Julianna;Majczyna;20
Maria;Sadura;40
Konstanty;Ścibisz;21
Apolonia;Frelich;41
Krzysztof;Daraż;26
Kajetan;Goś;37
Radosław;Samulak;45
Kajetan;Krauza;35
Stanisław;Nastaj;36
Karol;Gryska;25
Krzysztof;Walentynowicz;38
Albert;Morka;40
Arkadiusz;Pacholczak;42
Sara;Kliber;45
Aleksander;Fidler;25
Damian;Spychaj;33
Angelika;Podgórny;27
Janina;Milewczyk;25
Elżbieta;Kosowicz;29
Marianna;Radke;31
Ewa;Pałyga;46
Tomasz;Sławik;30
Justyna;Molga;34
Janina;Maruszczyk;38
Adrian;Barteczko;42
Stanisław;Krüger;44
Marianna;Pela;50
Dominik;Ziajka;34
Tola;Kieloch;25
Damian;Ruchała;22
Konrad;Teper;47
Gustaw;Białczyk;48
Fabian;Jeka;25
Nikodem;Hapka;45
Kamila;Śledzik;38
Gustaw;Portka;49
Nataniel;Sapa;50
Olaf;Perczak;22
Leon;Podkowa;41
Adrianna;Rzeźniczek;31
Dagmara;Lewek;39
Ida;Trzmiel;25
Fabian;Kościuszko;27
Oskar;Fiołka;47
Krystyna;Karol;23
Patryk;Obst;28
Kajetan;Kusyk;49
Nicole;Bugiel;25
Gustaw;Hirsch;20
Aleks;Majzner;39
Nataniel;Żółkiewicz;25
Franciszek;Potoczek;45
Anastazja;Kretek;38
Artur;Cierpka;46
Leonard;Kubaczyk;22
Lidia;Wawrzyńczyk;32
Krystian;Rawa;28
Maksymilian;Symonowicz;20
Filip;Fierek;50
Liwia;Glazer;28
Ada;Elsner;33
Maksymilian;Olas;38
Filip;Kryza;46
Marcelina;Noras;44
Marianna;Sztaba;33
Juliusz;Styrna;25
Borys;Taciak;43
Fryderyk;Gabryel;27
Mariusz;Krajniak;34
Jakub;Czopik;26
Aleksander;Torbus;44
Maks;Witkowicz;26
Borys;Grygorowicz;42
Marek;Kaliciak;32
Adrian;Thomas;30
Krystian;Staniewicz;30
Miłosz;Chomiak;26
Stefan;Pera;29
Janina;Ciemięga;21
Olaf;Martyn;32
Klara;Matulewicz;41
Klara;Detka;29
Inga;Cal;48
Ida;Gaś;30
Nikodem;Merda;47
Anita;Świt;46
Szymon;Hutyra;43
Jeremi;Lindner;50
Jędrzej;Paliga;24
Łukasz;Wojtach;23
Melania;Tryka;20
Leon;Janoszek;25
Eryk;Zegadło;43
Jacek;Reimann;43
Dagmara;Nocek;49
Juliusz;Moryc;41
Robert;Słonka;45
Kalina;Bobrowicz;40
Bruno;Tomalik;26
Nikodem;Lizurej;39
Józef;Kutera;48
Monika;Pospiech;47
Marcin;Rosłon;33
Gabriel;Koziarz;46
Julianna;Juszczuk;30
Sylwia;Bogumił;29
Angelika;Bulanda;41
Przemysław;Koss;46
Inga;Pasich;38
Tola;Topa;30
Borys;Feliniak;23
Kamila;Lubera;25
Artur;Filusz;26
Karina;Hawro;46
Ewelina;Gebauer;26
Ksawery;Berg;34
Rafał;Dunal;22
Sonia;Zdancewicz;33
Aleks;Żołnierczyk;24
Adrianna;Taciak;34
Nicole;Drywa;45
Nataniel;Nytko;29
Wiktor;Ciuk;22
Franciszek;Fronczek;34
Adrianna;Ryndak;27
Kacper;Cimoch;36
Dorota;Jagiełka;48
Elżbieta;Jeżyk;24
Urszula;Holewa;37
Franciszek;Dytko;21
Arkadiusz;Sadownik;22
Anastazja;Wichary;40
Cezary;Kędziorek;31
Mieszko;Krzywonos;39
Rafał;Matacz;27
Ida;Wakuła;29
Mateusz;Nazarewicz;43
Julianna;Getka;46
Urszula;Kanik;26
Borys;Szmajda;37
Leon;Furgał;41
Szymon;Adamów;34
Rafał;Rzeszutko;32
Marika;Malisz;35
Julianna;Froń;49
Borys;Fraszczyk;28
